Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2010-11-24,Sydney,17.5,24.7,0.0,11.0,12.6,NE,56.0,NNE,NE,17.0,26.0,60.0,58.0,1025.3,1022.0,2.0,1.0,22.8,24.1,No,No
2010-11-25,Sydney,18.5,26.0,0.0,8.8,12.1,NE,44.0,E,NE,17.0,20.0,67.0,53.0,1020.5,1017.7,1.0,1.0,22.5,25.2,No,No
2010-11-26,Sydney,18.9,24.1,0.0,11.6,9.0,NE,37.0,E,E,13.0,19.0,62.0,72.0,1017.3,1015.3,5.0,7.0,23.9,22.4,No,No
2010-11-30,Sydney,16.4,21.6,5.6,1.8,0.9,SSW,44.0,S,SSE,11.0,17.0,94.0,91.0,1016.4,1014.5,8.0,8.0,17.3,20.2,Yes,Yes
2010-12-01,Sydney,17.2,20.1,27.6,3.4,0.0,E,43.0,ENE,E,30.0,19.0,94.0,89.0,1016.4,1015.3,8.0,8.0,18.9,19.9,Yes,Yes
2010-12-02,Sydney,18.5,24.3,21.0,1.8,5.4,ENE,44.0,ENE,ENE,17.0,22.0,91.0,78.0,1018.0,1015.9,8.0,7.0,20.1,22.7,Yes,No
2010-12-03,Sydney,19.8,24.4,0.2,5.2,8.7,ENE,43.0,NNE,E,17.0,24.0,70.0,74.0,1017.3,1014.7,2.0,6.0,23.7,23.2,No,No
2010-12-06,Sydney,20.4,25.7,1.0,5.8,11.4,ESE,28.0,ESE,ESE,7.0,19.0,74.0,67.0,1014.2,1013.3,5.0,5.0,23.6,25.5,No,No
2010-12-07,Sydney,21.0,26.0,0.0,8.0,13.2,ENE,43.0,E,ENE,19.0,24.0,73.0,63.0,1016.5,1015.4,6.0,3.0,23.5,25.4,No,No
2010-12-08,Sydney,20.8,26.3,0.0,7.6,12.2,NE,63.0,NE,NE,15.0,28.0,67.0,68.0,1016.7,1012.5,3.0,5.0,24.8,25.7,No,No
2010-12-09,Sydney,22.0,30.7,0.0,10.4,2.6,N,31.0,NE,SSE,13.0,9.0,80.0,62.0,1010.8,1008.2,7.0,8.0,23.4,28.3,No,No
2010-12-10,Sydney,22.8,29.6,0.0,4.8,4.3,S,46.0,WSW,E,17.0,28.0,74.0,72.0,1009.4,1006.0,8.0,7.0,23.6,24.0,No,No
2010-12-13,Sydney,18.5,26.3,0.0,10.2,12.8,SSW,44.0,SSW,ESE,15.0,24.0,62.0,51.0,1013.5,1012.7,2.0,1.0,22.6,25.5,No,No
2010-12-15,Sydney,20.0,25.6,0.0,6.0,10.7,NNE,43.0,E,E,11.0,24.0,71.0,69.0,1010.8,1006.7,4.0,4.0,24.0,24.7,No,No
2010-12-16,Sydney,21.7,26.4,0.0,7.6,3.9,SSE,52.0,ENE,NNW,4.0,6.0,72.0,91.0,1003.8,1006.0,5.0,8.0,24.7,20.6,No,Yes
2010-12-17,Sydney,18.0,26.4,7.6,5.8,3.8,NW,41.0,SSW,ESE,6.0,6.0,75.0,71.0,1005.7,1003.5,8.0,6.0,20.5,23.0,Yes,No
2010-12-20,Sydney,13.3,21.7,4.8,9.2,11.6,W,72.0,W,W,41.0,41.0,42.0,32.0,997.6,1000.7,1.0,2.0,16.7,21.3,Yes,No
2010-12-21,Sydney,15.4,27.8,0.0,8.4,13.5,W,52.0,WNW,WNW,26.0,20.0,36.0,26.0,1008.7,1007.9,1.0,1.0,21.3,27.1,No,No
2010-12-22,Sydney,17.7,25.7,0.0,9.2,12.7,SE,41.0,SE,SSE,19.0,26.0,71.0,61.0,1018.5,1017.6,5.0,5.0,22.0,25.2,No,No
2010-12-23,Sydney,19.1,27.0,0.0,8.4,7.5,SSE,59.0,W,E,9.0,19.0,72.0,57.0,1018.1,1016.5,6.0,5.0,21.4,26.2,No,No
2012-07-01,Sydney,9.9,16.1,0.0,3.0,5.9,WSW,44.0,W,W,15.0,28.0,69.0,28.0,1016.2,1013.4,6.0,2.0,10.4,15.8,No,No
2012-07-02,Sydney,7.5,16.8,0.0,3.8,9.6,W,52.0,W,WSW,28.0,24.0,56.0,36.0,1016.0,1015.5,1.0,3.0,11.3,16.1,No,No
2012-07-05,Sydney,8.7,14.9,4.0,2.6,4.5,SSW,44.0,W,SSW,17.0,24.0,75.0,72.0,1031.0,1030.1,5.0,7.0,10.7,13.6,Yes,Yes
2012-07-06,Sydney,9.6,16.0,19.0,1.8,5.8,SSW,44.0,SW,S,17.0,22.0,89.0,52.0,1033.1,1031.4,4.0,2.0,11.0,15.3,Yes,Yes
2012-07-07,Sydney,8.7,15.1,1.2,2.4,0.7,W,31.0,W,SW,24.0,11.0,86.0,71.0,1032.5,1030.5,7.0,7.0,9.9,13.9,Yes,No
2012-07-08,Sydney,9.1,18.0,0.2,0.8,8.1,W,26.0,W,E,19.0,11.0,81.0,57.0,1031.2,1028.2,2.0,2.0,10.4,16.6,No,No
2012-07-09,Sydney,8.3,17.0,0.0,1.2,9.6,ENE,24.0,WNW,NE,15.0,13.0,90.0,67.0,1030.4,1026.6,3.0,5.0,9.3,16.7,No,No
2012-07-10,Sydney,8.4,18.0,0.0,1.8,2.4,NE,44.0,W,NNE,9.0,22.0,92.0,67.0,1026.6,1021.1,7.0,7.0,10.2,17.6,No,Yes
2012-07-11,Sydney,10.2,20.6,5.4,3.4,8.6,W,31.0,WNW,NW,11.0,15.0,76.0,44.0,1020.1,1017.6,1.0,5.0,13.2,20.1,Yes,No
2012-07-12,Sydney,11.6,17.3,0.0,3.0,0.2,NNW,31.0,W,NNE,9.0,9.0,80.0,79.0,1017.5,1012.7,7.0,8.0,13.0,17.1,No,No
2012-07-13,Sydney,12.9,22.9,0.2,0.4,6.3,N,39.0,NW,N,15.0,26.0,74.0,62.0,1011.6,1008.0,5.0,6.0,17.2,21.3,No,No
2012-07-14,Sydney,11.1,20.2,0.0,3.2,9.5,NW,39.0,W,WNW,13.0,19.0,73.0,31.0,1013.2,1009.7,2.0,1.0,13.4,19.1,No,No
2012-07-15,Sydney,9.0,18.2,0.0,5.0,10.0,WSW,46.0,WNW,WSW,9.0,17.0,52.0,33.0,1016.9,1016.9,1.0,1.0,12.2,17.8,No,No
2012-07-16,Sydney,9.4,20.3,0.0,2.6,9.9,W,43.0,W,ENE,24.0,11.0,62.0,36.0,1027.5,1025.4,0.0,0.0,11.3,18.3,No,No
2012-07-17,Sydney,8.1,21.0,0.0,3.6,9.7,N,35.0,WNW,N,13.0,17.0,82.0,34.0,1026.5,1021.5,1.0,0.0,9.8,20.4,No,No
2012-07-18,Sydney,9.3,20.7,0.0,3.2,7.9,WSW,31.0,W,SW,20.0,13.0,70.0,33.0,1019.4,1015.8,4.0,2.0,10.5,20.2,No,No
2012-07-19,Sydney,8.7,15.4,0.0,3.6,5.4,S,50.0,W,SSW,26.0,31.0,63.0,50.0,1020.2,1020.3,4.0,5.0,10.8,14.6,No,No
2012-07-20,Sydney,5.8,17.3,0.0,2.8,9.8,SSW,35.0,W,SSW,22.0,19.0,65.0,38.0,1025.9,1024.7,1.0,1.0,8.1,16.6,No,Yes
2012-07-21,Sydney,8.1,14.9,5.0,2.0,1.4,SSW,52.0,SSW,SSW,17.0,22.0,81.0,54.0,1029.3,1028.5,8.0,7.0,13.3,14.8,Yes,Yes
2012-07-22,Sydney,9.7,16.9,2.6,3.6,6.8,SE,48.0,W,S,20.0,20.0,92.0,62.0,1029.6,1027.6,6.0,6.0,10.6,16.2,Yes,Yes
2012-07-24,Sydney,10.4,14.0,6.8,2.4,0.6,W,26.0,W,SSW,17.0,11.0,95.0,85.0,1027.9,1025.6,7.0,7.0,11.2,13.6,Yes,Yes
2012-07-25,Sydney,8.7,19.6,4.4,0.2,6.5,N,30.0,W,ENE,17.0,20.0,93.0,50.0,1023.9,1019.3,8.0,2.0,10.0,18.0,Yes,No
2012-07-26,Sydney,10.0,19.5,0.0,3.8,3.9,NNW,31.0,N,NE,13.0,7.0,57.0,48.0,1015.4,1011.3,6.0,7.0,14.7,17.8,No,No
2012-07-27,Sydney,8.7,17.4,0.4,2.4,10.0,W,41.0,W,W,15.0,20.0,74.0,32.0,1012.6,1009.8,0.0,3.0,11.3,17.0,No,No
2012-07-28,Sydney,7.8,19.4,0.0,4.0,9.7,WSW,44.0,W,S,22.0,11.0,68.0,45.0,1016.2,1015.7,1.0,4.0,9.8,16.7,No,No
2012-07-29,Sydney,8.4,16.2,0.0,1.6,7.1,S,39.0,WNW,S,17.0,20.0,66.0,45.0,1022.5,1021.6,1.0,6.0,11.5,16.1,No,No
2012-07-30,Sydney,7.3,15.9,0.0,4.0,10.0,SSW,54.0,W,SSW,24.0,28.0,54.0,36.0,1024.2,1022.2,1.0,1.0,9.6,15.3,No,Yes
2012-07-31,Sydney,7.5,16.1,4.4,3.0,6.3,SW,44.0,W,SSW,26.0,24.0,60.0,52.0,1025.8,1022.9,6.0,6.0,9.9,13.7,Yes,No
2012-08-01,Sydney,7.0,16.2,0.0,2.4,8.3,SSW,43.0,W,S,22.0,22.0,62.0,38.0,1022.5,1019.5,2.0,2.0,9.5,15.7,No,No
2012-08-02,Sydney,6.5,17.4,0.0,4.2,9.6,W,44.0,W,SE,26.0,9.0,58.0,37.0,1022.3,1018.5,1.0,3.0,9.2,15.8,No,No
2012-08-03,Sydney,6.8,18.5,0.0,3.6,7.7,WNW,31.0,W,NW,9.0,11.0,58.0,32.0,1017.8,1014.4,7.0,1.0,9.7,18.1,No,No
2012-08-04,Sydney,7.2,20.8,0.0,2.4,10.2,W,35.0,W,NW,22.0,6.0,60.0,27.0,1017.9,1014.3,3.0,2.0,9.9,20.3,No,No
2012-08-05,Sydney,9.3,21.6,0.0,1.6,7.7,WSW,44.0,W,W,17.0,15.0,50.0,27.0,1016.1,1011.3,1.0,7.0,12.2,19.8,No,No
2012-08-06,Sydney,11.6,19.4,0.0,7.2,10.2,SSW,46.0,N,SW,2.0,17.0,45.0,22.0,1014.8,1014.9,1.0,1.0,14.3,18.4,No,No
2012-08-07,Sydney,6.8,18.6,0.0,3.2,10.2,W,33.0,W,WNW,22.0,6.0,54.0,25.0,1024.4,1021.3,1.0,0.0,9.8,18.2,No,No
2012-08-08,Sydney,5.6,22.5,0.0,3.6,10.6,W,30.0,W,W,17.0,9.0,55.0,26.0,1022.0,1015.2,1.0,1.0,9.5,21.4,No,No
2012-08-09,Sydney,9.5,19.8,0.0,3.4,6.6,W,63.0,WNW,WSW,9.0,31.0,51.0,18.0,1014.7,1009.9,7.0,2.0,13.5,18.9,No,No
2012-08-10,Sydney,7.6,14.9,0.0,5.0,3.8,S,93.0,W,SSW,31.0,26.0,42.0,76.0,1015.4,1016.6,3.0,7.0,10.4,12.2,No,Yes
2012-08-15,Sydney,10.2,22.2,0.0,4.6,6.0,WNW,30.0,WNW,N,19.0,11.0,48.0,35.0,1016.8,1011.5,2.0,7.0,14.6,20.1,No,No
2012-08-16,Sydney,11.7,20.6,0.0,2.0,9.2,W,35.0,W,E,26.0,19.0,47.0,43.0,1014.7,1010.7,1.0,2.0,13.5,17.4,No,No
2012-08-17,Sydney,11.1,22.2,0.0,5.8,8.3,W,76.0,N,WNW,19.0,37.0,36.0,35.0,1007.7,1004.3,1.0,6.0,15.9,14.5,No,No
2012-08-18,Sydney,9.6,18.1,0.0,6.6,10.4,W,61.0,NW,W,30.0,33.0,45.0,33.0,1007.0,1007.4,2.0,4.0,12.7,17.9,No,No
2012-08-19,Sydney,9.7,20.1,0.0,6.0,10.0,WSW,37.0,W,E,20.0,17.0,54.0,43.0,1020.3,1019.1,1.0,2.0,13.4,16.9,No,No
2012-08-20,Sydney,7.5,17.8,0.0,3.2,10.7,W,24.0,W,E,19.0,17.0,62.0,47.0,1024.3,1019.1,3.0,1.0,10.1,16.0,No,No
2012-08-21,Sydney,8.7,22.2,0.0,2.6,9.2,NNE,31.0,WNW,ENE,13.0,19.0,70.0,36.0,1020.6,1016.0,5.0,1.0,11.0,19.0,No,No
2012-08-23,Sydney,16.1,29.2,0.0,6.4,6.9,NW,91.0,WNW,NW,17.0,41.0,45.0,25.0,1009.5,1005.9,7.0,7.0,22.2,26.3,No,Yes
2012-08-24,Sydney,12.4,19.3,10.2,7.8,11.0,W,67.0,WNW,WNW,31.0,33.0,36.0,23.0,1014.2,1011.8,1.0,1.0,13.6,18.9,Yes,No
2012-08-25,Sydney,10.7,20.7,0.0,6.4,10.7,W,41.0,WNW,WNW,15.0,6.0,42.0,26.0,1018.0,1015.5,1.0,1.0,13.8,20.0,No,No
2012-08-26,Sydney,8.3,20.9,0.0,4.4,10.0,W,33.0,W,E,19.0,15.0,48.0,41.0,1018.7,1016.9,3.0,3.0,11.7,17.2,No,No
2012-08-30,Sydney,12.0,22.1,0.0,5.0,9.5,NW,54.0,W,WNW,9.0,30.0,47.0,18.0,1010.5,1008.9,5.0,6.0,17.2,21.2,No,No
2012-08-31,Sydney,9.7,18.4,0.0,6.2,7.6,SSW,59.0,W,W,26.0,24.0,39.0,24.0,1016.6,1013.7,1.0,6.0,12.8,16.6,No,No
2012-09-01,Sydney,5.5,17.6,0.4,5.0,9.6,S,61.0,W,S,24.0,31.0,45.0,38.0,1021.9,1020.2,1.0,6.0,10.5,16.2,No,No
2012-09-02,Sydney,7.2,20.7,0.8,3.8,11.2,W,31.0,W,ENE,20.0,19.0,61.0,45.0,1024.3,1019.9,1.0,1.0,12.1,17.0,No,No
2012-09-03,Sydney,7.5,22.8,0.0,3.4,10.8,WNW,28.0,W,E,17.0,15.0,52.0,37.0,1022.2,1019.8,0.0,1.0,13.3,19.6,No,No
2012-09-04,Sydney,9.7,24.4,0.2,4.0,9.9,W,28.0,W,E,19.0,17.0,55.0,33.0,1022.9,1019.6,5.0,1.0,13.6,21.4,No,No
2012-09-05,Sydney,11.1,28.3,0.0,5.2,10.6,NNW,57.0,NNW,NNW,15.0,31.0,28.0,13.0,1016.0,1007.3,1.0,0.0,20.8,27.5,No,No
2012-09-06,Sydney,18.4,27.9,0.0,13.4,10.7,NW,54.0,WNW,WNW,28.0,22.0,28.0,10.0,1007.7,1005.3,0.0,0.0,21.5,27.6,No,No
2012-09-07,Sydney,16.4,21.7,0.0,10.8,8.7,W,72.0,WNW,WNW,20.0,39.0,22.0,22.0,1005.8,1006.2,0.0,5.0,21.3,18.4,No,No
2012-09-08,Sydney,11.3,21.0,0.0,6.6,10.8,W,59.0,W,WSW,30.0,28.0,39.0,31.0,1014.5,1012.8,1.0,1.0,15.0,20.4,No,No
2012-09-11,Sydney,12.6,21.8,0.0,5.4,8.7,S,39.0,WNW,SSE,17.0,17.0,66.0,51.0,1025.0,1022.4,7.0,1.0,16.4,21.0,No,No
2012-09-12,Sydney,11.0,21.3,0.0,3.8,10.2,NE,43.0,W,NE,11.0,20.0,66.0,67.0,1023.1,1015.7,6.0,1.0,15.8,19.6,No,No
2012-09-13,Sydney,14.0,24.7,0.0,5.6,2.7,SSW,63.0,N,S,20.0,33.0,39.0,83.0,1006.2,1007.3,4.0,8.0,21.0,15.0,No,Yes
2012-09-14,Sydney,7.9,18.5,3.8,3.0,11.3,WSW,37.0,W,ESE,20.0,17.0,50.0,36.0,1019.6,1017.1,1.0,1.0,13.5,16.9,Yes,No
2012-09-15,Sydney,9.2,20.1,0.0,5.2,10.7,SSE,37.0,W,SE,19.0,19.0,54.0,44.0,1024.9,1023.5,1.0,1.0,15.6,19.8,No,No
2012-09-16,Sydney,10.5,21.0,0.0,3.2,10.3,NNE,41.0,N,NE,19.0,24.0,57.0,54.0,1021.9,1016.3,3.0,3.0,17.5,18.5,No,No
2012-09-17,Sydney,14.2,20.9,0.0,5.4,6.0,SSE,39.0,S,SSE,19.0,26.0,71.0,61.0,1019.4,1016.9,7.0,6.0,16.4,19.4,No,No
2012-09-18,Sydney,12.4,20.6,0.0,3.6,7.7,E,37.0,W,E,9.0,20.0,63.0,66.0,1018.4,1013.8,1.0,5.0,17.9,18.2,No,Yes
2012-09-19,Sydney,11.1,22.9,3.6,3.8,11.1,W,35.0,WNW,ESE,11.0,17.0,57.0,45.0,1016.0,1014.4,1.0,3.0,17.2,20.1,Yes,No
2012-09-20,Sydney,12.1,20.5,0.2,6.0,9.4,ENE,30.0,W,E,13.0,22.0,73.0,60.0,1019.3,1014.7,6.0,2.0,15.6,19.7,No,No
2012-09-21,Sydney,13.8,22.2,0.0,4.4,4.6,WSW,37.0,NNE,ENE,4.0,13.0,83.0,46.0,1012.7,1009.8,7.0,1.0,15.5,21.9,No,No
2012-09-22,Sydney,12.4,22.7,0.8,4.8,10.9,ESE,33.0,WNW,SE,11.0,17.0,49.0,50.0,1016.2,1013.1,1.0,1.0,19.0,20.9,No,No
2012-09-23,Sydney,11.2,23.8,0.0,4.4,11.1,SSW,39.0,SSW,NNE,2.0,17.0,64.0,46.0,1011.5,1005.4,0.0,1.0,17.8,23.5,No,No
2012-09-24,Sydney,13.5,24.4,0.0,8.2,11.2,W,48.0,WSW,E,26.0,17.0,31.0,29.0,1012.6,1010.6,1.0,1.0,17.3,21.7,No,No
2012-09-25,Sydney,12.0,19.1,0.2,3.2,3.8,ESE,33.0,W,ESE,13.0,26.0,51.0,63.0,1022.1,1020.0,2.0,6.0,15.0,16.8,No,No
2012-09-26,Sydney,14.6,20.7,0.4,4.2,8.3,ENE,44.0,S,ENE,4.0,33.0,67.0,59.0,1022.5,1019.0,6.0,1.0,17.8,19.6,No,No
2012-09-27,Sydney,14.1,22.8,0.2,6.8,6.7,NNE,46.0,NNE,NE,6.0,19.0,58.0,59.0,1018.7,1013.5,6.0,5.0,19.4,21.0,No,No
2012-09-28,Sydney,18.9,33.2,0.0,6.4,6.0,NNW,65.0,ENE,NW,22.0,22.0,63.0,29.0,1009.7,1003.5,5.0,7.0,21.7,31.2,No,Yes
2012-09-30,Sydney,9.9,22.4,0.0,8.4,11.5,W,48.0,WSW,ESE,31.0,26.0,29.0,30.0,1019.2,1018.0,0.0,1.0,15.4,20.3,No,No
2012-10-01,Sydney,9.8,19.9,0.0,6.8,9.8,SSE,30.0,WNW,E,11.0,20.0,51.0,53.0,1027.9,1025.5,1.0,1.0,16.4,18.0,No,No
2012-10-02,Sydney,12.7,20.3,0.6,5.0,10.6,W,26.0,S,E,11.0,17.0,58.0,45.0,1032.7,1029.2,4.0,1.0,17.5,18.5,No,No
2012-10-03,Sydney,11.2,27.8,0.2,5.8,11.3,NNE,31.0,W,E,13.0,7.0,53.0,40.0,1026.3,1020.5,1.0,7.0,18.7,24.0,No,No
2012-10-04,Sydney,14.5,32.2,0.0,7.2,11.4,WNW,37.0,W,WNW,9.0,11.0,39.0,16.0,1018.8,1013.1,0.0,0.0,23.9,31.9,No,No
2012-10-05,Sydney,20.0,34.2,0.0,10.8,10.3,W,57.0,W,SSE,22.0,28.0,22.0,59.0,1014.0,1013.0,0.0,5.0,27.9,22.8,No,No
2012-10-06,Sydney,15.6,18.3,0.0,7.6,0.0,NE,48.0,ESE,NE,9.0,11.0,90.0,81.0,1019.2,1014.6,8.0,7.0,16.0,17.2,No,Yes
2012-10-07,Sydney,12.7,20.6,3.0,3.2,11.2,SSW,57.0,SW,SSE,17.0,28.0,39.0,32.0,1013.8,1013.7,1.0,1.0,16.1,19.3,Yes,No
2012-10-08,Sydney,13.6,18.2,0.2,7.8,5.9,SSE,35.0,NNW,ESE,7.0,19.0,60.0,46.0,1017.1,1013.4,6.0,6.0,15.3,17.5,No,No
2012-10-09,Sydney,12.1,19.6,0.0,3.8,9.0,S,33.0,SSE,ESE,7.0,19.0,67.0,52.0,1012.8,1011.1,7.0,6.0,13.8,17.1,No,No
2012-10-11,Sydney,13.5,19.0,9.8,6.8,3.6,WSW,50.0,SE,E,4.0,9.0,83.0,58.0,1005.4,1004.1,8.0,7.0,14.6,18.2,Yes,Yes
2012-10-12,Sydney,8.5,16.0,3.4,2.0,4.3,SSW,74.0,W,SSW,35.0,22.0,84.0,87.0,1006.3,1010.7,5.0,7.0,8.7,12.2,Yes,Yes
2012-10-13,Sydney,8.6,20.1,4.4,4.0,11.0,SE,35.0,W,SE,26.0,20.0,47.0,39.0,1019.8,1019.3,1.0,1.0,14.3,18.9,Yes,No
2012-10-14,Sydney,12.4,19.5,0.2,4.8,8.8,ESE,28.0,WNW,ESE,13.0,20.0,77.0,52.0,1025.6,1024.0,7.0,1.0,14.0,18.5,No,No
2012-10-15,Sydney,11.4,23.9,0.0,6.4,11.6,NNE,46.0,W,NE,9.0,19.0,65.0,41.0,1024.9,1020.9,0.0,2.0,16.3,23.2,No,No
2012-10-16,Sydney,15.4,34.1,0.0,7.2,9.6,NNE,43.0,ESE,E,6.0,22.0,43.0,23.0,1018.4,1013.9,7.0,2.0,20.9,30.7,No,No
2012-10-17,Sydney,20.3,21.8,0.0,11.4,11.7,SSW,39.0,SE,ESE,22.0,24.0,62.0,46.0,1016.4,1016.4,5.0,6.0,21.7,20.8,No,No
2012-10-18,Sydney,16.6,21.5,0.0,7.4,8.2,ENE,41.0,ENE,NE,15.0,22.0,58.0,56.0,1022.7,1019.6,7.0,1.0,19.4,20.4,No,No
2012-10-19,Sydney,15.9,25.6,0.0,6.6,9.8,NE,31.0,WNW,E,11.0,19.0,78.0,56.0,1016.4,1011.6,7.0,4.0,17.7,24.1,No,No
2012-10-20,Sydney,16.6,33.8,0.0,6.8,11.8,SSE,56.0,WNW,S,22.0,33.0,44.0,57.0,1007.8,1008.5,1.0,2.0,22.8,24.6,No,No
2012-10-21,Sydney,14.9,27.4,0.0,5.0,5.0,S,46.0,W,WNW,13.0,20.0,66.0,23.0,1013.7,1009.5,4.0,7.0,19.9,26.9,No,No
2012-10-22,Sydney,15.1,18.7,0.0,6.0,6.6,SSE,80.0,SSE,S,30.0,39.0,68.0,40.0,1016.2,1019.7,7.0,2.0,15.6,18.0,No,Yes
2012-10-23,Sydney,11.8,19.5,7.4,2.0,10.1,SSE,41.0,SE,ESE,19.0,20.0,56.0,41.0,1027.4,1026.5,6.0,3.0,15.7,18.3,Yes,No
2012-10-24,Sydney,11.7,23.0,0.2,6.0,11.6,NE,46.0,W,NE,11.0,24.0,57.0,48.0,1024.3,1017.7,1.0,2.0,17.3,21.0,No,No
2012-10-25,Sydney,13.8,25.6,0.0,8.2,10.5,NE,30.0,W,E,9.0,19.0,63.0,46.0,1013.0,1006.6,3.0,6.0,18.2,24.8,No,No
2012-10-26,Sydney,16.9,21.2,0.0,9.0,3.3,S,56.0,ESE,E,6.0,19.0,68.0,66.0,1010.6,1007.3,8.0,7.0,18.4,20.0,No,No
2012-10-27,Sydney,13.1,21.3,0.0,5.4,12.2,SSE,41.0,SSW,SE,7.0,24.0,39.0,40.0,1015.7,1016.4,1.0,1.0,18.0,19.1,No,No
2012-10-28,Sydney,15.3,19.8,0.0,9.2,5.3,SSE,30.0,ESE,E,13.0,15.0,51.0,47.0,1025.5,1024.3,7.0,8.0,17.0,19.1,No,No
2012-10-29,Sydney,12.1,21.7,0.0,3.6,9.4,ENE,44.0,WNW,E,9.0,30.0,59.0,55.0,1025.1,1021.2,6.0,2.0,17.2,20.8,No,No
2012-10-30,Sydney,14.1,23.1,0.0,7.2,9.8,NE,43.0,WSW,ENE,2.0,24.0,65.0,48.0,1019.8,1015.7,5.0,6.0,18.6,22.4,No,No
2012-10-31,Sydney,15.7,27.8,0.0,7.0,12.0,ENE,33.0,WNW,ESE,11.0,20.0,64.0,52.0,1016.1,1013.0,0.0,3.0,21.6,24.4,No,No
2012-11-01,Sydney,16.8,33.3,0.0,8.0,5.2,W,52.0,WNW,E,9.0,20.0,55.0,57.0,1008.3,1002.0,7.0,7.0,22.6,24.7,No,No
